Time,Open,High,Low,Close,Volume,Trades
2026-09-01 10:00:00,6.0552,6.1095,5.9914,6.0466,21825.9,4806
2026-09-01 11:00:00,6.0457,6.1288,6.035,6.0717,14512.1,2472
2026-09-01 12:00:00,6.0762,6.108,6.0518,6.0551,10248.7,3340
2026-09-01 13:00:00,6.055,6.1,6.0366,6.0561,22643.7,5827
2026-09-01 14:00:00,6.0533,6.085,6.0139,6.0791,19332.0,3938
2026-09-01 15:00:00,6.0791,6.0966,6.0541,6.068,13743.3,1749
2026-09-01 16:00:00,6.0622,6.1026,6.0001,6.0031,17061.8,2001
2026-09-01 17:00:00,6.0089,6.0089,5.9187,5.9772,15360.3,980
2026-09-01 18:00:00,5.9715,6.0084,5.9509,6.0046,10697.9,520
2026-09-01 19:00:00,6.0071,6.0326,6.0069,6.0248,4527.1,216
2026-09-01 20:00:00,6.0248,6.0305,6.0016,6.0077,3475.4,258
2026-09-01 21:00:00,6.0079,6.0108,5.9861,5.9989,4802.8,193
2026-09-01 22:00:00,6.0047,6.016,6.0009,6.016,3711.5,258
2026-09-01 23:00:00,6.016,6.039,5.9862,6.0272,12002.9,525
2026-09-02 00:00:00,6.0272,6.0599,6.0107,6.0257,15144.1,758
2026-09-02 01:00:00,6.0233,6.1379,5.9815,6.0079,57557.3,2164
2026-09-02 02:00:00,6.0026,6.0425,5.9901,6.0176,5792.4,210
2026-09-02 03:00:00,6.0176,6.1221,6.0143,6.0672,4492.8,154
2026-09-02 04:00:00,6.0655,6.0745,6.0429,6.0429,3585.7,129
2026-09-02 05:00:00,6.0429,6.0668,5.9919,6.0094,6996.3,576
2026-09-02 06:00:00,6.005,6.0155,5.9857,5.9993,4583.0,627
2026-09-02 07:00:00,6.0055,6.0254,5.9689,5.9752,17656.3,981
2026-09-02 08:00:00,5.9794,6.0063,5.8184,5.8685,36538.2,3598
2026-09-02 09:00:00,5.8685,5.8866,5.8506,5.8506,2812.3,263
2026-09-02 10:00:00,5.8728,5.9142,5.8248,5.863,7815.7,383
2026-09-02 11:00:00,5.8714,5.8931,5.8636,5.8891,1688.2,198
2026-09-02 12:00:00,5.8814,5.8982,5.8813,5.8969,1646.4,170
2026-09-02 13:00:00,5.8946,5.8969,5.8507,5.8611,1169.5,154
2026-09-02 14:00:00,5.8676,5.93,5.8572,5.8931,9172.6,365
2026-09-02 15:00:00,5.8835,5.8901,5.8365,5.8545,1312.0,107
2026-09-02 16:00:00,5.8545,5.8753,5.8306,5.8623,1296.6,136
2026-09-02 17:00:00,5.8581,5.87,5.85,5.8677,840.7,85
2026-09-02 18:00:00,5.8675,5.876,5.85,5.857,819.1,71
2026-09-02 19:00:00,5.8413,5.864,5.8274,5.8519,975.2,88
2026-09-02 20:00:00,5.8634,5.8865,5.8271,5.8759,1202.9,66
2026-09-02 21:00:00,5.8548,5.8703,5.8169,5.8437,2391.2,230
2026-09-02 22:00:00,5.8437,5.878,5.8186,5.86,2918.8,157
2026-09-02 23:00:00,5.86,5.9229,5.8463,5.8961,6586.9,213
2026-09-03 00:00:00,5.8751,5.9285,5.8751,5.9285,2247.1,89
2026-09-03 01:00:00,5.9276,5.93,5.5838,5.607,49286.1,1412
2026-09-03 02:00:00,5.6073,5.6628,5.5631,5.6292,11773.5,1194
2026-09-03 03:00:00,5.6298,5.6592,5.5779,5.581,3023.2,771
2026-09-03 04:00:00,5.5779,5.6481,5.5768,5.6242,4946.0,1035
2026-09-03 05:00:00,5.6187,5.6242,5.3374,5.3846,37109.7,3133
2026-09-03 06:00:00,5.3845,5.4836,5.2593,5.442,43744.9,6034
2026-09-03 07:00:00,5.4428,5.448,5.3662,5.38,26092.9,1344
2026-09-03 08:00:00,5.3877,5.4153,5.3699,5.3974,3476.1,891
2026-09-03 09:00:00,5.4013,5.423,5.3876,5.4013,1537.9,285
2026-09-03 10:00:00,5.3956,5.3985,5.3876,5.3952,243.3,34
2026-09-03 11:00:00,5.39,5.4291,5.3835,5.4055,964.7,92
2026-09-03 12:00:00,5.4028,5.4297,5.3928,5.4198,456.1,63
