Timestamp (GMT+8),Date,Time,Open (USD),High (USD),Low (USD),Close (USD),Volume (CXMT),Notional (USD),Fully Diluted Val (USD),Fully Diluted Val (RMB)
2026-07-27 06:00:00,2026-07-27,06:00,6.3114,6.3183,6.2652,6.2974,6816.6,42926.86,421170112000.00,3053483312000.00
2026-07-27 06:05:00,2026-07-27,06:05,6.2985,6.4856,6.2985,6.4626,25385.9,164058.92,432218688000.00,3133585488000.00
2026-07-27 06:10:00,2026-07-27,06:10,6.4601,6.4700,6.3939,6.4397,15880.5,102265.66,430687136000.00,3122481736000.00
2026-07-27 06:15:00,2026-07-27,06:15,6.4375,6.5023,6.3933,6.4268,26655.6,171310.21,429824384000.00,3116226784000.00
2026-07-27 06:20:00,2026-07-27,06:20,6.4285,6.4382,6.3634,6.3931,13087.2,83667.78,427570528000.00,3099886328000.00
2026-07-27 06:25:00,2026-07-27,06:25,6.3935,6.4000,6.2593,6.2846,31964.4,200883.47,420314048000.00,3047276848000.00
2026-07-27 06:30:00,2026-07-27,06:30,6.2813,6.3375,6.2500,6.3040,8101.5,51071.86,421611520000.00,3056683520000.00
2026-07-27 06:35:00,2026-07-27,06:35,6.3147,6.3558,6.2700,6.3295,13502.4,85463.44,423316960000.00,3069047960000.00
2026-07-27 06:40:00,2026-07-27,06:40,6.3377,6.3554,6.2821,6.3120,13676.3,86324.81,422146560000.00,3060562560000.00
2026-07-27 06:45:00,2026-07-27,06:45,6.3082,6.3500,6.3000,6.3500,15421.8,97928.43,424688000000.00,3078988000000.00
2026-07-27 06:50:00,2026-07-27,06:50,6.3495,6.4450,6.3090,6.4000,25352.5,162256.00,428032000000.00,3103232000000.00
2026-07-27 06:55:00,2026-07-27,06:55,6.4022,6.4089,6.3587,6.3784,4385.0,27969.28,426587392000.00,3092758592000.00
2026-07-27 07:00:00,2026-07-27,07:00,6.3847,6.4600,6.3803,6.4288,10263.5,65981.99,429958144000.00,3117196544000.00
2026-07-27 07:05:00,2026-07-27,07:05,6.4316,6.5098,6.4316,6.4600,19326.9,124851.77,432044800000.00,3132324800000.00
2026-07-27 07:10:00,2026-07-27,07:10,6.4600,6.5000,6.4280,6.4623,15168.5,98023.40,432198624000.00,3133440024000.00
2026-07-27 07:15:00,2026-07-27,07:15,6.4686,6.4864,6.4521,6.4741,6806.9,44068.55,432987808000.00,3139161608000.00
2026-07-27 07:20:00,2026-07-27,07:20,6.4740,6.5200,6.4414,6.4593,22253.6,143742.68,431997984000.00,3131985384000.00
2026-07-27 07:25:00,2026-07-27,07:25,6.4593,6.4940,6.4214,6.4671,16774.3,108481.08,432519648000.00,3135767448000.00
2026-07-27 07:30:00,2026-07-27,07:30,6.4674,6.4944,6.4399,6.4944,9112.2,59178.27,434345472000.00,3149004672000.00
2026-07-27 07:35:00,2026-07-27,07:35,6.4880,6.4917,6.4598,6.4843,7406.2,48024.02,433669984000.00,3144107384000.00
2026-07-27 07:40:00,2026-07-27,07:40,6.4809,6.5885,6.4599,6.5554,32819.3,215143.64,438425152000.00,3178582352000.00
2026-07-27 07:45:00,2026-07-27,07:45,6.5553,6.5768,6.5040,6.5540,13547.7,88791.63,438331520000.00,3177903520000.00
2026-07-27 07:50:00,2026-07-27,07:50,6.5512,6.5798,6.5000,6.5624,20048.1,131563.65,438893312000.00,3181976512000.00
2026-07-27 07:55:00,2026-07-27,07:55,6.5625,6.5798,6.5260,6.5320,19430.2,126918.07,436860160000.00,3167236160000.00
2026-07-27 08:00:00,2026-07-27,08:00,6.5320,6.5689,6.5200,6.5633,14920.3,97926.40,438953504000.00,3182412904000.00
2026-07-27 08:05:00,2026-07-27,08:05,6.5644,6.5798,6.5287,6.5700,25734.8,169077.64,439401600000.00,3185661600000.00
2026-07-27 08:10:00,2026-07-27,08:10,6.5790,6.6270,6.5520,6.6203,43968.7,291085.98,442765664000.00,3210051064000.00
2026-07-27 08:15:00,2026-07-27,08:15,6.6239,7.1769,6.6036,7.0365,801945.6,5642890.21,470601120000.00,3411858120000.00
2026-07-27 08:20:00,2026-07-27,08:20,7.0541,7.0680,6.6396,6.7000,200033.5,1340224.45,448096000000.00,3248696000000.00
2026-07-27 08:25:00,2026-07-27,08:25,6.6997,6.8640,6.5933,6.8224,127647.9,870865.03,456282112000.00,3308045312000.00
2026-07-27 08:30:00,2026-07-27,08:30,6.8142,6.8298,6.6600,6.6801,85349.9,570145.87,446765088000.00,3239046888000.00
2026-07-27 08:35:00,2026-07-27,08:35,6.6663,6.6961,6.5627,6.5866,103265.2,680166.57,440511808000.00,3193710608000.00
2026-07-27 08:40:00,2026-07-27,08:40,6.5974,6.7467,6.5902,6.6630,74671.2,497534.21,445621440000.00,3230755440000.00
