datetime_utc,timestamp_ms,open,high,low,close,volume_shares,volume_usd,trade_count
2026-07-26 15:15:00+00:00,1785078900000,1217.4,1221.4,1217.3,1219.8,741.393,904351.1814,938
2026-07-26 15:30:00+00:00,1785079800000,1219.8,1219.9,1218.3,1219.5,263.352,321157.76399999997,612
2026-07-26 15:45:00+00:00,1785080700000,1219.6,1219.6,1217.4,1218.8,254.168,309779.9584,786
2026-07-26 16:00:00+00:00,1785081600000,1218.8,1218.9,1216.8,1217.6,265.398,323148.60480000003,671
2026-07-26 16:15:00+00:00,1785082500000,1217.5,1220.1,1217.2,1220.1,278.047,339245.1447,572
2026-07-26 16:30:00+00:00,1785083400000,1220.1,1221.6,1219.7,1219.9,370.296,451724.09040000004,485
2026-07-26 16:45:00+00:00,1785084300000,1219.9,1220.0,1219.0,1219.9,286.132,349052.4268,727
2026-07-26 17:00:00+00:00,1785085200000,1219.8,1219.9,1218.5,1218.7,214.981,261997.34470000002,469
2026-07-26 17:15:00+00:00,1785086100000,1218.7,1219.5,1217.6,1217.9,186.792,227493.97680000003,591
2026-07-26 17:30:00+00:00,1785087000000,1217.9,1220.3,1217.6,1220.2,487.614,594986.6028,670
2026-07-26 17:45:00+00:00,1785087900000,1220.2,1220.3,1219.3,1219.8,254.659,310633.04819999996,544
2026-07-26 18:00:00+00:00,1785088800000,1219.8,1221.4,1219.5,1221.1,373.402,455961.1821999999,520
2026-07-26 18:15:00+00:00,1785089700000,1221.2,1221.2,1219.0,1219.6,342.927,418233.7692,525
2026-07-26 18:30:00+00:00,1785090600000,1219.7,1220.4,1219.5,1219.8,192.537,234856.6326,303
2026-07-26 18:45:00+00:00,1785091500000,1219.8,1220.4,1219.0,1219.6,159.8,194892.08,304
2026-07-26 19:00:00+00:00,1785092400000,1219.6,1219.7,1218.6,1219.2,143.993,175556.2656,237
2026-07-26 19:15:00+00:00,1785093300000,1219.2,1220.0,1217.9,1218.1,142.475,173548.7975,330
2026-07-26 19:30:00+00:00,1785094200000,1217.8,1218.7,1217.2,1218.4,246.083,299827.5272,344
2026-07-26 19:45:00+00:00,1785095100000,1218.3,1218.3,1216.2,1216.6,173.629,211237.0414,319
2026-07-26 20:00:00+00:00,1785096000000,1216.2,1216.4,1214.8,1215.3,393.189,477842.5917,673
2026-07-26 20:15:00+00:00,1785096900000,1215.3,1216.4,1214.9,1215.7,309.383,376116.9131,556
2026-07-26 20:30:00+00:00,1785097800000,1215.8,1216.2,1214.8,1215.9,265.365,322657.30350000004,430
2026-07-26 20:45:00+00:00,1785098700000,1215.9,1216.9,1215.3,1216.7,529.84,644656.3280000001,554
2026-07-26 21:00:00+00:00,1785099600000,1216.7,1216.9,1215.5,1215.6,292.866,356007.90959999996,498
2026-07-26 21:15:00+00:00,1785100500000,1215.6,1217.8,1215.0,1217.6,748.225,911038.76,411
2026-07-26 21:30:00+00:00,1785101400000,1217.4,1217.6,1216.4,1216.9,368.677,448643.04130000004,380
2026-07-26 21:45:00+00:00,1785102300000,1216.9,1217.4,1215.6,1216.2,917.88,1116325.656,551
2026-07-26 22:00:00+00:00,1785103200000,1216.3,1228.5,1216.3,1227.6,4973.67,6105677.291999999,3480
2026-07-26 22:15:00+00:00,1785104100000,1227.5,1237.8,1227.3,1237.4,3840.229,4751899.3646,3395
2026-07-26 22:30:00+00:00,1785105000000,1237.4,1240.9,1235.3,1235.5,2600.244,3212601.4620000003,2168
2026-07-26 22:45:00+00:00,1785105900000,1235.4,1238.4,1230.8,1234.8,3488.713,4307862.8124,3273
2026-07-26 23:00:00+00:00,1785106800000,1234.9,1255.0,1234.9,1248.3,17242.785,21524168.515499998,8405
2026-07-26 23:15:00+00:00,1785107700000,1248.2,1250.8,1243.7,1246.4,4936.306,6152611.7984,3518
2026-07-26 23:30:00+00:00,1785108600000,1246.4,1246.9,1236.5,1244.9,6876.434,8560472.686600002,4437
2026-07-26 23:45:00+00:00,1785109500000,1245.5,1254.4,1241.9,1248.1,6598.523,8235616.556299999,4445
2026-07-27 00:00:00+00:00,1785110400000,1247.8,1250.6,1202.9,1214.3,33823.018,41071290.75739999,15361
2026-07-27 00:15:00+00:00,1785111300000,1214.1,1226.6,1198.4,1218.8,17625.73,21482239.724,8529
2026-07-27 00:30:00+00:00,1785112200000,1218.7,1223.7,1204.4,1207.5,9543.848,11524196.459999999,5138
2026-07-27 00:45:00+00:00,1785113100000,1207.3,1232.7,1207.3,1219.2,14044.487,17123038.5504,7784
2026-07-27 01:00:00+00:00,1785114000000,1219.3,1222.4,1199.2,1201.8,8878.457,10670129.6226,6813
2026-07-27 01:15:00+00:00,1785114900000,1201.8,1201.8,1171.8,1173.1,23814.569,27936870.893899996,10955
